URL,Question,Option A,Option B,Option C,Option D,Prompt,GT,answer
https://attack.mitre.org/techniques/T1037/004/,Which adversary technique involves modifying startup scripts on Unix-like systems to establish persistence? (ID: T1037.004),Boot or Logon Initialization Scripts: Launchd,Boot or Logon Initialization Scripts: Systemd,Boot or Logon Initialization Scripts: RC Scripts,Boot or Logon Initialization Scripts: Cron Jobs,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which adversary technique involves modifying startup scripts on Unix-like systems to establish persistence? (ID: T1037.004)  **Options:** A) Boot or Logon Initialization Scripts: Launchd B) Boot or Logon Initialization Scripts: Systemd C) Boot or Logon Initialization Scripts: RC Scripts D) Boot or Logon Initialization Scripts: Cron Jobs  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1037/004/,Which group has been known to add an entry to the rc.common file for persistence? (ID: T1037.004),APT29,Green Lambert,iKitten,Cyclops Blink,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which group has been known to add an entry to the rc.common file for persistence? (ID: T1037.004)  **Options:** A) APT29 B) Green Lambert C) iKitten D) Cyclops Blink  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, A
https://attack.mitre.org/techniques/T1037/004/,What mitigation strategy is recommended to prevent unauthorized editing of the rc.common file? (ID: M1022),Employ system cryptographic signatures,Restrict the use of administrative tools,Restrict File and Directory Permissions,Utilize network segmentation,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What mitigation strategy is recommended to prevent unauthorized editing of the rc.common file? (ID: M1022)  **Options:** A) Employ system cryptographic signatures B) Restrict the use of administrative tools C) Restrict File and Directory Permissions D) Utilize network segmentation  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1037/003/,Which mitigation is recommended for restricting write access to network logon scripts?,M1021: Restrict Registry Permissions,M1023: Restrict Library Access,M1022: Restrict File and Directory Permissions,M1024: Restrict Process Execution,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation is recommended for restricting write access to network logon scripts?  **Options:** A) M1021: Restrict Registry Permissions B) M1023: Restrict Library Access C) M1022: Restrict File and Directory Permissions D) M1024: Restrict Process Execution  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1037/003/,What type of data source should be monitored to detect modifications in Active Directory related to network logon scripts?,DS0017: Command,DS0009: Process,DS0022: File,DS0026: Active Directory,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What type of data source should be monitored to detect modifications in Active Directory related to network logon scripts?  **Options:** A) DS0017: Command B) DS0009: Process C) DS0022: File D) DS0026: Active Directory  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",D, D
https://attack.mitre.org/techniques/T1037/002/,What methodology do adversaries use to establish persistence via Login Hook according to MITRE ATT&CK technique T1037.002?,Adversaries modify the /etc/passwd file to include a malicious entry,Adversaries add or insert a path to a malicious script in the com.apple.loginwindow.plist file,Adversaries exploit default passwords on macOS services,Adversaries install a rogue kernel module upon boot,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What methodology do adversaries use to establish persistence via Login Hook according to MITRE ATT&CK technique T1037.002?  **Options:** A) Adversaries modify the /etc/passwd file to include a malicious entry B) Adversaries add or insert a path to a malicious script in the com.apple.loginwindow.plist file C) Adversaries exploit default passwords on macOS services D) Adversaries install a rogue kernel module upon boot  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, C
https://attack.mitre.org/techniques/T1037/002/,Which of the following is a deprecated method for executing scripts upon user login in macOS 10.11 and later?,Login Daemon,Startup Script,Login Hook,Initialization Service,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following is a deprecated method for executing scripts upon user login in macOS 10.11 and later?  **Options:** A) Login Daemon B) Startup Script C) Login Hook D) Initialization Service  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, B
https://attack.mitre.org/techniques/T1037/002/,"According to MITRE ATT&CK's Detection guidelines for T1037.002, which data source should be monitored to detect changes to the login hook files?",DS0015 | Network Traffic,DS0026 | Authentication Logs,DS0017 | Command Execution,DS0022 | File Creation and Modification,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** According to MITRE ATT&CK's Detection guidelines for T1037.002, which data source should be monitored to detect changes to the login hook files?  **Options:** A) DS0015 | Network Traffic B) DS0026 | Authentication Logs C) DS0017 | Command Execution D) DS0022 | File Creation and Modification  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",D, D
https://attack.mitre.org/techniques/T1134/004/,"Which of the following tools has been known to rely on parent PID spoofing as part of its ""rootkit-like"" functionality?",Empire,Cobalt Strike,DarkGate,KONNI,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following tools has been known to rely on parent PID spoofing as part of its ""rootkit-like"" functionality?  **Options:** A) Empire B) Cobalt Strike C) DarkGate D) KONNI  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, D
https://attack.mitre.org/techniques/T1037/,Which threat group is known for hijacking legitimate application-specific startup scripts for persistence using technique T1037 (Boot or Logon Initialization Scripts) on the Enterprise platform?,Rocke,APT29,RotaJakiro,None of the above,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which threat group is known for hijacking legitimate application-specific startup scripts for persistence using technique T1037 (Boot or Logon Initialization Scripts) on the Enterprise platform?  **Options:** A) Rocke B) APT29 C) RotaJakiro D) None of the above  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, A
https://attack.mitre.org/techniques/T1037/,Which mitigation strategy involves ensuring proper permission settings for registry keys to prevent unauthorized modifications to logon scripts on the Enterprise platform?,Restrict File and Directory Permissions,Network Segmentation,Restrict Registry Permissions,User Training,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation strategy involves ensuring proper permission settings for registry keys to prevent unauthorized modifications to logon scripts on the Enterprise platform?  **Options:** A) Restrict File and Directory Permissions B) Network Segmentation C) Restrict Registry Permissions D) User Training  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1037/,Monitoring which data source can help detect unauthorized modifications to logon scripts in the Active Directory as part of defending against technique T1037 (Boot or Logon Initialization Scripts)?,Process files and modifications,Command and arguments,File creation and modification,Active Directory object modification,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Monitoring which data source can help detect unauthorized modifications to logon scripts in the Active Directory as part of defending against technique T1037 (Boot or Logon Initialization Scripts)?  **Options:** A) Process files and modifications B) Command and arguments C) File creation and modification D) Active Directory object modification  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",D, D
https://attack.mitre.org/techniques/T1535/,Which technique ID refers to adversaries creating cloud instances in unused geographic service regions to evade detection in MITRE ATT&CK?,T1533: Data from Local System,T1562: Impair Defenses,T1535: Unused/Unsupported Cloud Regions,T1547: Boot or Logon Autostart Execution,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which technique ID refers to adversaries creating cloud instances in unused geographic service regions to evade detection in MITRE ATT&CK?  **Options:** A) T1533: Data from Local System B) T1562: Impair Defenses C) T1535: Unused/Unsupported Cloud Regions D) T1547: Boot or Logon Autostart Execution  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C," D

(Note: The method described in the question corresponds to Technique ID T1535: Unused/Unsupported Cloud Regions in MITRE ATT&CK.)"
https://attack.mitre.org/techniques/T1535/,"In the context of MITRE ATT&CK, which mitigation strategy is recommended to prevent adversaries from utilizing unused cloud regions for Defense Evasion?",Deactivate unused regions in the cloud provider.,Enable all advanced detection services across all regions.,Increase the number of regions under surveillance.,Limit account access to cloud management systems.,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the context of MITRE ATT&CK, which mitigation strategy is recommended to prevent adversaries from utilizing unused cloud regions for Defense Evasion?  **Options:** A) Deactivate unused regions in the cloud provider. B) Enable all advanced detection services across all regions. C) Increase the number of regions under surveillance. D) Limit account access to cloud management systems.  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",A, A
https://attack.mitre.org/techniques/T1550/001/,Which tactic does MITRE ATT&CK technique T1550.001 pertain to?,Initial Access,Persistence,Defense Evasion,,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which tactic does MITRE ATT&CK technique T1550.001 pertain to?  **Options:** A) Initial Access B) Persistence C) Defense Evasion D) nan  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1550/001/,What is the primary purpose of application access tokens as described in T1550.001?,To directly store user credentials,To make authorized API requests on behalf of a user or service,To serve as alternative passwords for user accounts,To encrypt sensitive user data,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is the primary purpose of application access tokens as described in T1550.001?  **Options:** A) To directly store user credentials B) To make authorized API requests on behalf of a user or service C) To serve as alternative passwords for user accounts D) To encrypt sensitive user data  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, C
https://attack.mitre.org/techniques/T1550/001/,Which OAuth-related action can an adversary perform using a compromised access token in cloud-based email services?,Generate new access tokens,Encrypt communications,Perform REST API functions such as email searching and contact enumeration,Disable two-factor authentication,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which OAuth-related action can an adversary perform using a compromised access token in cloud-based email services?  **Options:** A) Generate new access tokens B) Encrypt communications C) Perform REST API functions such as email searching and contact enumeration D) Disable two-factor authentication  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, B
https://attack.mitre.org/techniques/T1550/001/,"During the SolarWinds Compromise (C0024), what specific method did APT29 use to make changes to the Office 365 environment?",Exploiting zero-day vulnerabilities,Crafting spear-phishing emails,Using compromised service principals,Intercepting network traffic,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** During the SolarWinds Compromise (C0024), what specific method did APT29 use to make changes to the Office 365 environment?  **Options:** A) Exploiting zero-day vulnerabilities B) Crafting spear-phishing emails C) Using compromised service principals D) Intercepting network traffic  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1550/001/,Which mitigation strategy advises the use of token binding to cryptographically secure an application access token?,Application Developer Guidance (M1013),Encrypt Sensitive Information (M1041),Restrict Web-Based Content (M1021),Audit (M1047),"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation strategy advises the use of token binding to cryptographically secure an application access token?  **Options:** A) Application Developer Guidance (M1013) B) Encrypt Sensitive Information (M1041) C) Restrict Web-Based Content (M1021) D) Audit (M1047)  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",A, A
https://attack.mitre.org/techniques/T1550/001/,"According to Detection insights for T1550.001, what activity should be monitored to detect misuse of application access tokens?",File transfer logs,Network traffic patterns,Web Credential Usage,User login attempts,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** According to Detection insights for T1550.001, what activity should be monitored to detect misuse of application access tokens?  **Options:** A) File transfer logs B) Network traffic patterns C) Web Credential Usage D) User login attempts  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1550/002/,What is the purpose of the Pass the Hash technique (T1550.002) in cyber threat intelligence?,To encrypt the authentication channel used in communications,To authenticate as a user without having access to their cleartext password,To intercept and manipulate network traffic,To encrypt stored password hashes,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is the purpose of the Pass the Hash technique (T1550.002) in cyber threat intelligence?  **Options:** A) To encrypt the authentication channel used in communications B) To authenticate as a user without having access to their cleartext password C) To intercept and manipulate network traffic D) To encrypt stored password hashes  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, C
https://attack.mitre.org/techniques/T1550/002/,Which of the following groups has used tools such as Mimikatz for lateral movement via captured password hashes according to MITRE ATT&CK?,APT29,APT41,APT33,APT32,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following groups has used tools such as Mimikatz for lateral movement via captured password hashes according to MITRE ATT&CK?  **Options:** A) APT29 B) APT41 C) APT33 D) APT32  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, A
https://attack.mitre.org/techniques/T1550/002/,How does 'Overpass the Hash' differ from 'Pass the Hash'?,It introduces encryption to communications,It uses the password hash to create a Kerberos ticket,It only works on Linux systems,It requires re-authentication every session,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** How does 'Overpass the Hash' differ from 'Pass the Hash'?  **Options:** A) It introduces encryption to communications B) It uses the password hash to create a Kerberos ticket C) It only works on Linux systems D) It requires re-authentication every session  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, C
https://attack.mitre.org/techniques/T1550/002/,What Windows Security event ID may indicate the use of Pass the Hash for lateral movement between workstations?,4662,4624,4672,4769,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What Windows Security event ID may indicate the use of Pass the Hash for lateral movement between workstations?  **Options:** A) 4662 B) 4624 C) 4672 D) 4769  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, B
https://attack.mitre.org/techniques/T1550/002/,Which mitigation strategy could help prevent the effectiveness of Pass the Hash attacks?,Malware protection,Intrusion detection,Privileged Account Management,Antivirus software,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation strategy could help prevent the effectiveness of Pass the Hash attacks?  **Options:** A) Malware protection B) Intrusion detection C) Privileged Account Management D) Antivirus software  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1550/002/,Which tool is capable of performing Pass the Hash on x64 versions of compromised machines according to MITRE ATT&CK?,Mimikatz,CrackMapExec,BADHATCH,Cobalt Strike,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which tool is capable of performing Pass the Hash on x64 versions of compromised machines according to MITRE ATT&CK?  **Options:** A) Mimikatz B) CrackMapExec C) BADHATCH D) Cobalt Strike  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, A
https://attack.mitre.org/techniques/T1550/003/,Under which scenario can a Silver Ticket be utilized based on MITRE ATT&CK T1550.003?,It can access all resources in a domain,It is used to request service tickets for other resources,It allows access to a specific resource,It involves the use of NTLM password hash,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Under which scenario can a Silver Ticket be utilized based on MITRE ATT&CK T1550.003?  **Options:** A) It can access all resources in a domain B) It is used to request service tickets for other resources C) It allows access to a specific resource D) It involves the use of NTLM password hash  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1550/003/,"According to MITRE ATT&CK T1550.003, what specific method does Mimikatz use to extract the krbtgt account hash?",EVENT::DCSync,DCOM::DUMP,LSADUMP::DCSync,PTT::EXTRACT,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** According to MITRE ATT&CK T1550.003, what specific method does Mimikatz use to extract the krbtgt account hash?  **Options:** A) EVENT::DCSync B) DCOM::DUMP C) LSADUMP::DCSync D) PTT::EXTRACT  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, D
https://attack.mitre.org/techniques/T1550/003/,Which mitigation measure can reset the KRBTGT account password twice to invalidate existing golden tickets?,M1027: Password Policies,M1026: Privileged Account Management,M1018: User Account Management,M1015: Active Directory Configuration,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation measure can reset the KRBTGT account password twice to invalidate existing golden tickets?  **Options:** A) M1027: Password Policies B) M1026: Privileged Account Management C) M1018: User Account Management D) M1015: Active Directory Configuration  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",D, C
https://attack.mitre.org/techniques/T1550/003/,How can APT32 use Pass the Ticket as per MITRE ATT&CK T1550.003?,By creating forged tickets for administrative access,By breaching SharePoint access,By capturing TGT via OS Credential Dumping,By performing overpassing the hash,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** How can APT32 use Pass the Ticket as per MITRE ATT&CK T1550.003?  **Options:** A) By creating forged tickets for administrative access B) By breaching SharePoint access C) By capturing TGT via OS Credential Dumping D) By performing overpassing the hash  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, A
https://attack.mitre.org/techniques/T1550/003/,"Which event ID can help detect the misuse of an invalidated golden ticket, according to MITRE ATT&CK T1550.003?",Event ID 4657,Event ID 4769,Event ID 2017,Event ID 4776,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which event ID can help detect the misuse of an invalidated golden ticket, according to MITRE ATT&CK T1550.003?  **Options:** A) Event ID 4657 B) Event ID 4769 C) Event ID 2017 D) Event ID 4776  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, A
https://attack.mitre.org/techniques/T1550/004/,"Given the MITRE ATT&CK technique T1550.004, which mitigation strategy can be employed to reduce the risk of session cookie misuse?",Implementing multi-factor authentication (MFA),Regularly updating user credentials,Monitoring application logs for unusual activities,Configuring browsers to regularly delete persistent cookies,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Given the MITRE ATT&CK technique T1550.004, which mitigation strategy can be employed to reduce the risk of session cookie misuse?  **Options:** A) Implementing multi-factor authentication (MFA) B) Regularly updating user credentials C) Monitoring application logs for unusual activities D) Configuring browsers to regularly delete persistent cookies  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",D, D
https://attack.mitre.org/techniques/T1550/004/,"During the SolarWinds Compromise, which threat actor is associated with using stolen cookies to bypass multi-factor authentication for cloud resources?",APT28,APT29,APT33,APT41,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** During the SolarWinds Compromise, which threat actor is associated with using stolen cookies to bypass multi-factor authentication for cloud resources?  **Options:** A) APT28 B) APT29 C) APT33 D) APT41  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, A
https://attack.mitre.org/techniques/T1204/001/,Which of the following groups used spearphishing emails to lure targets into downloading a Cobalt Strike beacon? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),APT3,APT32,APT33,APT28,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following groups used spearphishing emails to lure targets into downloading a Cobalt Strike beacon? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)  **Options:** A) APT3 B) APT32 C) APT33 D) APT28  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, A
https://attack.mitre.org/techniques/T1204/001/,Which mitigation strategy recommends blocking unknown or unused files in transit by default when a link is being visited? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),Network Intrusion Prevention,Restrict Web-Based Content,User Training,Email Sandboxing,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation strategy recommends blocking unknown or unused files in transit by default when a link is being visited? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)  **Options:** A) Network Intrusion Prevention B) Restrict Web-Based Content C) User Training D) Email Sandboxing  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, C
https://attack.mitre.org/techniques/T1204/001/,What detection method involves monitoring newly constructed web-based network connections sent to malicious or suspicious destinations? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),File Creation,Network Connection Creation,Network Traffic Content,Endpoint Detection and Response (EDR),"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What detection method involves monitoring newly constructed web-based network connections sent to malicious or suspicious destinations? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)  **Options:** A) File Creation B) Network Connection Creation C) Network Traffic Content D) Endpoint Detection and Response (EDR)  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, C
https://attack.mitre.org/techniques/T1204/001/,Which adversary group has used OneDrive links for users to download files for execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),BlackTech,Bazar,Emotet,Bumblebee,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which adversary group has used OneDrive links for users to download files for execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)  **Options:** A) BlackTech B) Bazar C) Emotet D) Bumblebee  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",D, B
https://attack.mitre.org/techniques/T1204/001/,What file types are specifically recommended to be blocked in transit as a part of web-based content restriction? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),".pdf, .doc, .xls",".scr, .exe, .pif, .cpl",".lnk, .bat, .cmd",".zip, .rar","You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What file types are specifically recommended to be blocked in transit as a part of web-based content restriction? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)  **Options:** A) .pdf, .doc, .xls B) .scr, .exe, .pif, .cpl C) .lnk, .bat, .cmd D) .zip, .rar  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, D
https://attack.mitre.org/techniques/T1204/001/,Which group employed URLs hosted on Google Docs to host decoys that lead to execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),Bazar,APT3,Leviathan,PLEAD,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which group employed URLs hosted on Google Docs to host decoys that lead to execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)  **Options:** A) Bazar B) APT3 C) Leviathan D) PLEAD  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",A, A
https://attack.mitre.org/techniques/T1204/002/,"According to MITRE ATT&CK technique T1204.002, which of the following file types have NOT been mentioned as examples of files that adversaries can use to execute malicious code?",.doc,.iso,.pdf,.scr,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** According to MITRE ATT&CK technique T1204.002, which of the following file types have NOT been mentioned as examples of files that adversaries can use to execute malicious code?  **Options:** A) .doc B) .iso C) .pdf D) .scr  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, C
https://attack.mitre.org/techniques/T1204/002/,Which cyber threat group used malicious Microsoft Office attachments with macros during the 2015 Ukraine Electric Power Attack?,Sandworm Team,admin@338,APT29,APT19,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which cyber threat group used malicious Microsoft Office attachments with macros during the 2015 Ukraine Electric Power Attack?  **Options:** A) Sandworm Team B) admin@338 C) APT29 D) APT19  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",A, A
